#{"t_start": 1707437331.0257766, "env_id": "None"}
r,l,t
265.0,265,5.310657
419.0,419,49.594884
327.0,327,306.613978
2.0,2,309.634214
203.0,203,515.077767
2.0,2,518.097523
192.0,192,712.512819
2.0,2,715.531771
109.0,109,826.773885
2.0,2,829.782212
127.0,127,959.069029
2.0,2,962.078005
132.0,132,1096.376163
2.0,2,1099.394778
182.0,182,1283.791757
2.0,2,1286.800757
